Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,Prix
Casablanca,2019,Automatique,Diesel,82499.5,Volvo,V40,5.0,WW au Maroc,Non,8,197000
Marrakech,2017,Manuelle,Essence,104999.5,Peugeot,208,5.0,WW au Maroc,Oui,6,93000
Casablanca,2022,Manuelle,Diesel,104999.5,Renault,Trafic,5.0,WW au Maroc,Non,6,305000
Agadir,2022,Manuelle,Diesel,97499.5,Renault,Express,5.0,WW au Maroc,Oui,6,148000
Casablanca,2021,Automatique,Diesel,82499.5,Renault,Kadjar,5.0,WW au Maroc,Oui,6,229000
Rabat,2017,Manuelle,Essence,47499.5,Opel,Corsa,5.0,WW au Maroc,Non,7,110000
Laâyoune,2015,Automatique,Diesel,174999.5,Hyundai,Santa Fe,5.0,Importée neuve,Non,8,170000
Casablanca,2019,Manuelle,Diesel,42499.5,Fiat,Ducato,5.0,WW au Maroc,Oui,9,168000
Casablanca,2023,Manuelle,Diesel,52499.5,Jeep,Renegade,5.0,WW au Maroc,Oui,6,195000
Rabat,2019,Manuelle,Diesel,144999.5,Nissan,Qashqai,3.0,Dédouanée,Oui,6,210000
Casablanca,2014,Automatique,Diesel,184999.5,Peugeot,508,5.0,WW au Maroc,Non,8,133000
Tanger,2023,Manuelle,Diesel,82499.5,Renault,Clio,5.0,WW au Maroc,Oui,6,150000
Marrakech,2019,Manuelle,Diesel,134999.5,Peugeot,208,5.0,WW au Maroc,Oui,6,107000
Meknès,2022,Manuelle,Diesel,82499.5,Fiat,Fiorino,5.0,WW au Maroc,Non,5,125000
Tanger,2024,Automatique,Diesel,2499.5,Citroën,C4,5.0,WW au Maroc,Oui,6,340000
Casablanca,2021,Automatique,Diesel,134999.5,Jeep,Cherokee,5.0,WW au Maroc,Non,9,247000
Rabat,2022,Automatique,Hybride,104999.5,Mercedes-Benz,Classe GLC,3.0,Dédouanée,Oui,8,690000
Agadir,2022,Automatique,Diesel,114999.5,Skoda,Octavia,5.0,WW au Maroc,Oui,8,265000
Tanger,2023,Automatique,Diesel,77499.5,Mercedes-Benz,220,5.0,Dédouanée,Non,8,550000
Casablanca,2020,Automatique,Diesel,114999.5,Opel,Astra,5.0,WW au Maroc,Non,6,178000
Casablanca,2024,Automatique,Essence,22499.5,Changan,CS35,5.0,WW au Maroc,Oui,8,198000
Casablanca,2023,Manuelle,Diesel,37499.5,Dacia,Sandero,5.0,WW au Maroc,Oui,6,156000
Rabat,2021,Automatique,Diesel,72499.5,Volkswagen,Golf 8,5.0,Importée neuve,Oui,6,405000
Casablanca,2021,Automatique,Diesel,114999.5,Dacia,Duster,5.0,WW au Maroc,Oui,6,185000
Ben Ahmed,2021,Automatique,Diesel,62499.5,Hyundai,Accent,5.0,WW au Maroc,Oui,6,107000
Laâyoune,1989,Manuelle,Essence,2499.5,Renault,R19,5.0,Dédouanée,Non,8,22000
Meknès,2023,Manuelle,Diesel,52499.5,Citroën,Berlingo,5.0,WW au Maroc,Oui,6,223000
Temara,2015,Manuelle,Diesel,174999.5,Fiat,500 L,5.0,WW au Maroc,Non,5,102000
Casablanca,2020,Automatique,Diesel,124999.5,Skoda,Octavia,5.0,WW au Maroc,Oui,8,197000
Casablanca,2022,Automatique,Diesel,47499.5,BMW,Série 1,5.0,WW au Maroc,Oui,6,292700
Salé,2019,Manuelle,Diesel,37499.5,Opel,Grandland,5.0,WW au Maroc,Oui,6,203000
Casablanca,2020,Manuelle,Diesel,154999.5,Audi,Q7,5.0,WW au Maroc,Oui,12,317000
Casablanca,2018,Automatique,Diesel,174999.5,Land Rover,Range Rover Velar,3.0,WW au Maroc,Oui,6,350000
Casablanca,2023,Automatique,Diesel,124999.5,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Oui,8,380000
Casablanca,2021,Manuelle,Diesel,104999.5,Peugeot,2008,5.0,WW au Maroc,Oui,6,198000
Marrakech,2019,Automatique,Diesel,104999.5,Dacia,Duster,5.0,WW au Maroc,Non,6,185000
Marrakech,2009,Manuelle,Essence,174999.5,Dacia,Logan,5.0,WW au Maroc,Non,6,83000
Salé,2011,Manuelle,Diesel,82499.5,Dacia,Logan,5.0,WW au Maroc,Non,6,85000
Casablanca,2012,Automatique,Essence,114999.5,Subaru,Legacy,5.0,WW au Maroc,Non,11,68000
Fès,2020,Manuelle,Diesel,92499.5,Peugeot,208,5.0,WW au Maroc,Oui,5,145000
Dar Bouazza,2018,Automatique,Diesel,124999.5,Volkswagen,Passat,5.0,WW au Maroc,Oui,8,220000
Marrakech,2007,Manuelle,Diesel,224999.5,Toyota,Prado,5.0,WW au Maroc,Non,12,110000
Marrakech,2015,Automatique,Diesel,184999.5,Ford,Fusion,5.0,WW au Maroc,Non,8,139000
Salé,2019,Automatique,Diesel,174999.5,Renault,Megane,5.0,WW au Maroc,Oui,6,168000
Tétouan,2018,Automatique,Diesel,134999.5,Mercedes-Benz,Classe GLC,3.0,WW au Maroc,Non,9,285000
Casablanca,2018,Automatique,Diesel,104999.5,Peugeot,3008,5.0,WW au Maroc,Oui,8,208000
Rabat,2017,Automatique,Diesel,104999.5,Volkswagen,Coccinelle,3.0,WW au Maroc,Oui,8,195000
Rabat,2018,Automatique,Diesel,144999.5,Jeep,Renegade,5.0,WW au Maroc,Oui,6,185000
Tanger,2009,Manuelle,Diesel,324999.5,Renault,Megane,5.0,WW au Maroc,Non,6,85000
Casablanca,2022,Automatique,Diesel,47499.5,Mercedes-Benz,Classe A,5.0,WW au Maroc,Oui,8,325000
Casablanca,2015,Automatique,Diesel,194999.5,Volkswagen,Touareg,5.0,WW au Maroc,Oui,11,154000
Casablanca,2019,Automatique,Diesel,114999.5,Peugeot,3008,5.0,WW au Maroc,Oui,8,219000
Rabat,2022,Manuelle,Essence,7499.5,Kia,Picanto,5.0,WW au Maroc,Oui,6,122000
Casablanca,2016,Automatique,Diesel,92499.5,Porsche,Macan,5.0,Importée neuve,Non,12,420000
Rabat,2007,Automatique,Diesel,224999.5,Mercedes-Benz,Classe C,5.0,WW au Maroc,Non,12,111000
Tanger,2021,Automatique,Hybride,104999.5,Hyundai,Sonata,5.0,WW au Maroc,Oui,11,259000
Casablanca,2014,Automatique,Essence,144999.5,Fiat,500,3.0,Dédouanée,Non,7,95000
Casablanca,2020,Automatique,Diesel,104999.5,Renault,Megane,5.0,WW au Maroc,Oui,6,219000
Casablanca,2020,Automatique,Diesel,144999.5,Volkswagen,Touran,5.0,Dédouanée,Oui,8,275000
Tanger,2018,Automatique,Diesel,194999.5,BMW,X4,5.0,WW au Maroc,Oui,8,237000
Salé,2021,Automatique,Diesel,124999.5,Hyundai,Santa Fe,5.0,WW au Maroc,Oui,9,300000
Oujda,2017,Automatique,Diesel,134999.5,Mercedes-Benz,Classe E,5.0,WW au Maroc,Oui,8,320000
Casablanca,2016,Manuelle,Diesel,324999.5,Mercedes-Benz,508,5.0,Importée neuve,Non,9,199000
Salé,2018,Manuelle,Diesel,97499.5,Dacia,Lodgy,5.0,WW au Maroc,Non,6,128000
Marrakech,2018,Automatique,Diesel,164999.5,Skoda,Karoq,5.0,Dédouanée,Oui,6,285000
Salé,2019,Manuelle,Diesel,37499.5,Opel,Grandland,5.0,WW au Maroc,Oui,6,197000
Tanger,2018,Automatique,Diesel,174999.5,Volkswagen,Tiguan,5.0,Dédouanée,Non,8,283000
